Show_ID,Title,Date_Added,Rating,IDs,First_Name,Last_Name
s8,Sankofa,2021-09-24,TV-MA,1001,Haile,Gerima
s9,The Great British Baking Show,2021-09-24,TV-14,1002,Andy,Devonshire
s10,The Starling,2021-09-24,PG-13,1003,Theodore,Melfi
s13,Je Suis Karl,2021-09-23,TV-MA,1004,Christian,Schwochow
s25,Jeans,2021-09-21,TV-14,1005,S.,Shankar
s28,Grown Ups,2021-09-20,PG-13,1006,Dennis,Dugan
s29,Dark Skies,2021-09-19,PG-13,1007,Scott,Stewart
s30,Paranoia,2021-09-19,PG-13,1008,Robert,Luketic
s39,Birth of the Dragon,2021-09-16,PG-13,1009,George,Nolfi
s42,Jaws,2021-09-16,PG,1010,Steven,Spielberg
s43,Jaws 2,2021-09-16,PG,1011,Jeannot,Szwarc
s44,Jaws 3,2021-09-16,PG,1012,Joe,Alves
s45,Jaws: The Revenge,2021-09-16,PG-13,1013,Joseph,Sargent
s47,Safe House,2021-09-16,R,1014,Daniel,Espinosa
s49,Training Day,2021-09-16,R,1015,Antoine,Fuqua
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2021-09-15,TV-14,1016,Toshiya,Shinohara
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,2021-09-15,TV-14,1017,Toshiya,Shinohara
s54,InuYasha the Movie 4: Fire on the Mystic Island,2021-09-15,TV-PG,1018,Toshiya,Shinohara
s55,InuYasha the Movie: Affections Touching Across Time,2021-09-15,TV-PG,1019,Toshiya,Shinohara
s57,Naruto Shippuden the Movie: Blood Prison,2021-09-15,TV-14,1020,Masahiko,Murata
s58,Naruto Shippûden the Movie: Bonds,2021-09-15,TV-PG,1021,Hajime,Kamegaki
s59,Naruto Shippûden the Movie: The Will of Fire,2021-09-15,TV-PG,1022,Masahiko,Murata
s60,Naruto Shippuden: The Movie,2021-09-15,TV-PG,1023,Hajime,Kamegaki
s61,Naruto Shippuden: The Movie: The Lost Tower,2021-09-15,TV-14,1024,Masahiko,Murata
s62,Naruto the Movie 2: Legend of the Stone of Gelel,2021-09-15,TV-PG,1025,Hirotsugu,Kawasaki
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2021-09-15,TV-PG,1026,Toshiyuki,Tsuru
s64,Naruto the Movie: Ninja Clash in the Land of Snow,2021-09-15,TV-PG,1027,Tensai,Okamura
s74,King of Boys,2021-09-14,TV-MA,1028,Kemi,Adetiba
s82,Kate,2021-09-10,R,1029,Cedric,Nicolas-Troyan
