Title_ID,Title,Type,Category,Date_Added,Rating,Description
tid1,Sankofa,Movie,"Dramas, Independent Movies, International Movies",2021-09-24,TV-MA,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
tid2,The Great British Baking Show,TV Show,"British TV Shows, Reality TV",2021-09-24,TV-14,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
tid3,The Starling,Movie,"Comedies, Dramas",2021-09-24,PG-13,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
tid4,Je Suis Karl,Movie,"Dramas, International Movies",2021-09-23,TV-MA,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
tid5,Jeans,Movie,"Comedies, International Movies, Romantic Movies",2021-09-21,TV-14,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
tid6,Grown Ups,Movie,Comedies,2021-09-20,PG-13,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
tid7,Dark Skies,Movie,"Horror Movies, Sci-Fi & Fantasy",2021-09-19,PG-13,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
tid8,Paranoia,Movie,Thrillers,2021-09-19,PG-13,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
tid9,Birth of the Dragon,Movie,"Action & Adventure, Dramas",2021-09-16,PG-13,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
tid10,Jaws,Movie,"Action & Adventure, Classic Movies, Dramas",2021-09-16,PG,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
tid11,Jaws 2,Movie,"Dramas, Horror Movies, Thrillers",2021-09-16,PG,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
tid12,Jaws 3,Movie,"Action & Adventure, Horror Movies, Thrillers",2021-09-16,PG,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
tid13,Jaws: The Revenge,Movie,"Action & Adventure, Horror Movies, Thrillers",2021-09-16,PG-13,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
tid14,Safe House,Movie,Action & Adventure,2021-09-16,R,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
tid15,Training Day,Movie,"Dramas, Thrillers",2021-09-16,R,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
tid16,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-14,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
tid17,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-14,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
