Show_ID,Type,Title,Category,Date_Added,Rating,Director,Description
s8,Movie,Sankofa,"Dramas, Independent Movies, International Movies",2021-09-24,TV-MA,Haile Gerima,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
s9,TV Show,The Great British Baking Show,"British TV Shows, Reality TV",2021-09-24,TV-14,Andy Devonshire,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s10,Movie,The Starling,"Comedies, Dramas",2021-09-24,PG-13,Theodore Melfi,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
s13,Movie,Je Suis Karl,"Dramas, International Movies",2021-09-23,TV-MA,Christian Schwochow,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
s25,Movie,Jeans,"Comedies, International Movies, Romantic Movies",2021-09-21,TV-14,S. Shankar,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
s28,Movie,Grown Ups,Comedies,2021-09-20,PG-13,Dennis Dugan,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
s29,Movie,Dark Skies,"Horror Movies, Sci-Fi & Fantasy",2021-09-19,PG-13,Scott Stewart,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
s30,Movie,Paranoia,Thrillers,2021-09-19,PG-13,Robert Luketic,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
s39,Movie,Birth of the Dragon,"Action & Adventure, Dramas",2021-09-16,PG-13,George Nolfi,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
s42,Movie,Jaws,"Action & Adventure, Classic Movies, Dramas",2021-09-16,PG,Steven Spielberg,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
s43,Movie,Jaws 2,"Dramas, Horror Movies, Thrillers",2021-09-16,PG,Jeannot Szwarc,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
s44,Movie,Jaws 3,"Action & Adventure, Horror Movies, Thrillers",2021-09-16,PG,Joe Alves,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
s45,Movie,Jaws: The Revenge,"Action & Adventure, Horror Movies, Thrillers",2021-09-16,PG-13,Joseph Sargent,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
s47,Movie,Safe House,Action & Adventure,2021-09-16,R,Daniel Espinosa,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
s49,Movie,Training Day,"Dramas, Thrillers",2021-09-16,R,Antoine Fuqua,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-14,Toshiya Shinohara,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-14,Toshiya Shinohara,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Toshiya Shinohara,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
s55,Movie,InuYasha the Movie: Affections Touching Across Time,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Toshiya Shinohara,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
s57,Movie,Naruto Shippuden the Movie: Blood Prison,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-14,Masahiko Murata,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
