IDs,Titles,First_Name,Last_Name,Show_ID,Ratings,Categories,Date_Added
1001,Dick Johnson Is Dead,Kirsten,Johnson,s1,PG-13,Movie,2021-09-25
1002,Ganglands,Julien,Leclercq,s3,TV-MA,TV Show,2021-09-24
1003,Sentinelle,Julien,Leclercq,s1237,TV-MA,Movie,2021-03-05
1004,Earth and Blood,Julien,Leclercq,s2669,TV-MA,Movie,2020-04-17
1005,Midnight Mass,Mike,Flanagan,s6,TV-MA,TV Show,2021-09-24
1006,Before I Wake,Mike,Flanagan,s5092,PG-13,Movie,2018-01-05
1007,Gerald's Game,Mike,Flanagan,s5253,TV-MA,Movie,2017-09-29
1008,Hush,Mike,Flanagan,s5853,R,Movie,2016-04-08
1009,Sankofa,Haile,Gerima,s8,TV-MA,Movie,2021-09-24
10010,The Great British Baking Show,Andy,Devonshire,s9,TV-14,TV Show,2021-09-24
10011,The Starling,Theodore,Melfi,s10,PG-13,Movie,2021-09-24
10012,Bangkok Breaking,Kongkiat,Komesiri,s12,TV-MA,TV Show,2021-09-23
10013,Je Suis Karl,Christian,Schwochow,s13,TV-MA,Movie,2021-09-23
10014,Confessions of an Invisible Girl,Bruno,Garotti,s14,TV-PG,Movie,2021-09-22
10015,The Secret Diary of an Exchange Student,Bruno,Garotti,s262,TV-14,Movie,2021-08-18
10016,Rich in Love,Bruno,Garotti,s2602,TV-14,Movie,2020-04-30
10017,DJ Cinderella,Bruno,Garotti,s3748,TV-PG,Movie,2019-06-14
10018,Intrusion,Adam,Salky,s19,TV-14,Movie,2021-09-22
10019,Monsters Inside: The 24 Faces of Billy Milligan,Olivier,Megaton,s21,TV-14,TV Show,2021-09-22
10020,The Last Days of American Crime,Olivier,Megaton,s2425,TV-MA,Movie,2020-06-05
10021,Avvai Shanmughi,K.S.,Ravikumar,s23,TV-PG,Movie,2021-09-21
10022,Jeans,S.,Shankar,s25,TV-14,Movie,2021-09-21
10023,Minsara Kanavu,Rajiv,Menon,s27,TV-PG,Movie,2021-09-21
10024,Sarvam Thaala Mayam (Telugu Version),Rajiv,Menon,s3933,TV-14,Movie,2019-04-08
10025,Sarvam Thaala Mayam (Tamil Version),Rajiv,Menon,s4062,TV-14,Movie,2019-03-01
10026,Grown Ups,Dennis,Dugan,s28,PG-13,Movie,2021-09-20
10027,Beverly Hills Ninja,Dennis,Dugan,s1354,PG-13,Movie,2021-02-01
10028,Big Daddy,Dennis,Dugan,s6304,PG-13,Movie,2020-10-01
10029,You Don't Mess with the Zohan,Dennis,Dugan,s8791,UR,Movie,2019-09-01
10030,Dark Skies,Scott,Stewart,s29,PG-13,Movie,2021-09-19
10031,Legion,Scott,Stewart,s7287,R,Movie,2019-11-01
10032,Paranoia,Robert,Luketic,s30,PG-13,Movie,2021-09-19
10033,Legally Blonde,Robert,Luketic,s1122,PG-13,Movie,2021-04-01
10034,21,Robert,Luketic,s5960,PG-13,Movie,2020-01-01
10035,Killers,Robert,Luketic,s7205,PG-13,Movie,2021-01-01
10036,Monster-in-Law,Robert,Luketic,s7504,PG-13,Movie,2020-01-01
10037,The Ugly Truth,Robert,Luketic,s8543,R,Movie,2019-04-25
10038,The Father Who Moves Mountains,Daniel,Sandu,s36,TV-MA,Movie,2021-09-17
10039,The Stronghold,Cédric,Jimenez,s37,TV-MA,Movie,2021-09-17
10040,Birth of the Dragon,George,Nolfi,s39,PG-13,Movie,2021-09-16
10041,Jaws,Steven,Spielberg,s42,PG,Movie,2021-09-16
10042,Catch Me If You Can,Steven,Spielberg,s330,PG-13,Movie,2021-08-01
10043,The BFG,Steven,Spielberg,s1204,PG,Movie,2021-03-15
10044,Indiana Jones and the Kingdom of the Crystal Skull,Steven,Spielberg,s7071,PG-13,Movie,2019-01-01
10045,Indiana Jones and the Last Crusade,Steven,Spielberg,s7072,PG-13,Movie,2019-01-01
10046,Indiana Jones and the Raiders of the Lost Ark,Steven,Spielberg,s7073,PG,Movie,2019-01-01
10047,Indiana Jones and the Temple of Doom,Steven,Spielberg,s7074,PG,Movie,2019-01-01
10048,Lincoln,Steven,Spielberg,s7309,PG-13,Movie,2018-02-21
10049,Schindler's List,Steven,Spielberg,s7958,R,Movie,2018-04-01
10050,The Adventures of Tintin,Steven,Spielberg,s8185,PG,Movie,2019-11-20
10051,War Horse,Steven,Spielberg,s8697,PG-13,Movie,2019-05-06
10052,Jaws 2,Jeannot,Szwarc,s43,PG,Movie,2021-09-16
10053,Jaws 3,Joe,Alves,s44,PG,Movie,2021-09-16
10054,Jaws: The Revenge,Joseph,Sargent,s45,PG-13,Movie,2021-09-16
10055,My Heroes Were Cowboys,Tyler,Greco,s46,PG,Movie,2021-09-16
10056,Safe House,Daniel,Espinosa,s47,R,Movie,2021-09-16
10057,The Smart Money Woman,Bunmi,Ajakaiye,s48,TV-MA,TV Show,2021-09-16
10058,My Wife and I,Bunmi,Ajakaiye,s3153,TV-MA,Movie,2019-12-13
10059,Training Day,Antoine,Fuqua,s49,R,Movie,2021-09-16
10060,Tears of the Sun,Antoine,Fuqua,s175,R,Movie,2021-09-01
10061,Olympus Has Fallen,Antoine,Fuqua,s3870,R,Movie,2019-05-02
10062,Brooklyn's Finest,Antoine,Fuqua,s6380,R,Movie,2018-10-01
10063,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya,Shinohara,s52,TV-14,Movie,2021-09-15
10064,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya,Shinohara,s53,TV-14,Movie,2021-09-15
10065,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya,Shinohara,s54,TV-PG,Movie,2021-09-15
10066,InuYasha the Movie: Affections Touching Across Time,Toshiya,Shinohara,s55,TV-PG,Movie,2021-09-15
10067,Inuyasha the Movie - L'isola del fuoco scarlatto,Toshiya,Shinohara,s7089,TV-PG,Movie,2017-09-01
10068,Inuyasha the Movie - La spada del dominatore del mondo,Toshiya,Shinohara,s7090,TV-14,Movie,2017-09-01
10069,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,Toshiya,Shinohara,s7091,TV-14,Movie,2017-09-01
10070,Naruto Shippuden the Movie: Blood Prison,Masahiko,Murata,s57,TV-14,Movie,2021-09-15
10071,Naruto Shippûden the Movie: The Will of Fire,Masahiko,Murata,s59,TV-PG,Movie,2021-09-15
10072,Naruto Shippuden: The Movie: The Lost Tower,Masahiko,Murata,s61,TV-14,Movie,2021-09-15
10073,Naruto Shippuden : Blood Prison,Masahiko,Murata,s7560,TV-14,Movie,2017-09-01
10074,Naruto Shippûden the Movie: Bonds,Hajime,Kamegaki,s58,TV-PG,Movie,2021-09-15
10075,Naruto Shippuden: The Movie,Hajime,Kamegaki,s60,TV-PG,Movie,2021-09-15
10076,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu,Kawasaki,s62,TV-PG,Movie,2021-09-15
10077,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki,Tsuru,s63,TV-PG,Movie,2021-09-15
10078,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai,Okamura,s64,TV-PG,Movie,2021-09-15
10079,Kuromukuro,Tensai,Okamura,s5835,TV-14,TV Show,2016-07-04
10080,Nightbooks,David,Yarovesky,s65,TV-PG,Movie,2021-09-15
10081,A StoryBots Space Adventure,David,A. Vargas,s72,TV-Y,Movie,2021-09-14
10082,King of Boys,Kemi,Adetiba,s74,TV-MA,Movie,2021-09-14
10083,King of Boys: The Return of the King,Kemi,Adetiba,s199,TV-MA,TV Show,2021-08-27
10084,The Wedding Party,Kemi,Adetiba,s5531,TV-14,Movie,2017-04-15
10085,You vs. Wild: Out Cold,Ben,Simms,s76,TV-G,Movie,2021-09-14
10086,Animals on the Loose: A You vs. Wild Movie,Ben,Simms,s1305,TV-PG,Movie,2021-02-16
10087,Little Singham - Black Shadow,Prakash,Satam,s78,TV-Y7,Movie,2021-09-11
10088,Little Singham Future mein Satakli,Prakash,Satam,s862,TV-Y7,Movie,2021-05-20
10089,Little Singham: Kaal Ka Badla,Prakash,Satam,s2115,TV-Y7,Movie,2020-08-19
