Title_ID,Titles,Categories,Date_Added,Ratings,Description
tid1,Dick Johnson Is Dead,Movie,2021-09-25,PG-13,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
tid2,Ganglands,TV Show,2021-09-24,TV-MA,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
tid3,Midnight Mass,TV Show,2021-09-24,TV-MA,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
tid4,My Little Pony: A New Generation,Movie,2021-09-24,PG,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
tid5,Sankofa,Movie,2021-09-24,TV-MA,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
tid6,The Great British Baking Show,TV Show,2021-09-24,TV-14,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
tid7,The Starling,Movie,2021-09-24,PG-13,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
tid8,Bangkok Breaking,TV Show,2021-09-23,TV-MA,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
tid9,Je Suis Karl,Movie,2021-09-23,TV-MA,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
tid10,Confessions of an Invisible Girl,Movie,2021-09-22,TV-PG,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
tid11,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2021-09-22,TV-MA,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
tid12,Intrusion,Movie,2021-09-22,TV-14,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
tid13,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021-09-22,TV-14,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
tid14,Avvai Shanmughi,Movie,2021-09-21,TV-PG,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
tid15,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021-09-21,TV-Y,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
tid16,Jeans,Movie,2021-09-21,TV-14,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
tid17,Minsara Kanavu,Movie,2021-09-21,TV-PG,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
tid18,Grown Ups,Movie,2021-09-20,PG-13,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
tid19,Dark Skies,Movie,2021-09-19,PG-13,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
tid20,Paranoia,Movie,2021-09-19,PG-13,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
tid21,Ankahi Kahaniya,Movie,2021-09-17,TV-14,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
tid22,The Father Who Moves Mountains,Movie,2021-09-17,TV-MA,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
tid23,The Stronghold,Movie,2021-09-17,TV-MA,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
tid24,Birth of the Dragon,Movie,2021-09-16,PG-13,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
tid25,Jaws,Movie,2021-09-16,PG,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
tid26,Jaws 2,Movie,2021-09-16,PG,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
tid27,Jaws 3,Movie,2021-09-16,PG,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
tid28,Jaws: The Revenge,Movie,2021-09-16,PG-13,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
tid29,My Heroes Were Cowboys,Movie,2021-09-16,PG,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
tid30,Safe House,Movie,2021-09-16,R,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
tid31,The Smart Money Woman,TV Show,2021-09-16,TV-MA,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
tid32,Training Day,Movie,2021-09-16,R,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
tid33,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2021-09-15,TV-14,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
tid34,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2021-09-15,TV-14,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
tid35,InuYasha the Movie 4: Fire on the Mystic Island,Movie,2021-09-15,TV-PG,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
tid36,InuYasha the Movie: Affections Touching Across Time,Movie,2021-09-15,TV-PG,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
tid37,Naruto Shippuden the Movie: Blood Prison,Movie,2021-09-15,TV-14,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
tid38,Naruto Shippûden the Movie: Bonds,Movie,2021-09-15,TV-PG,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
tid39,Naruto Shippûden the Movie: The Will of Fire,Movie,2021-09-15,TV-PG,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
tid40,Naruto Shippuden: The Movie,Movie,2021-09-15,TV-PG,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
tid41,Naruto Shippuden: The Movie: The Lost Tower,Movie,2021-09-15,TV-14,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
tid42,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2021-09-15,TV-PG,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
tid43,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2021-09-15,TV-PG,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
tid44,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2021-09-15,TV-PG,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
tid45,Nightbooks,Movie,2021-09-15,TV-PG,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
tid46,Schumacher,Movie,2021-09-15,TV-14,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
tid47,A StoryBots Space Adventure,Movie,2021-09-14,TV-Y,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
tid48,King of Boys,Movie,2021-09-14,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
tid49,You vs. Wild: Out Cold,Movie,2021-09-14,TV-G,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
tid50,Little Singham - Black Shadow,Movie,2021-09-11,TV-Y7,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
tid51,Tughlaq Durbar,Movie,2021-09-11,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
tid52,Tughlaq Durbar (Telugu),Movie,2021-09-11,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
