Show_ID,Titles,Categories,Date_Added,Ratings,Directors
s1,Dick Johnson Is Dead,Movie,2021-09-25,PG-13,Kirsten Johnson
s3,Ganglands,TV Show,2021-09-24,TV-MA,Julien Leclercq
s6,Midnight Mass,TV Show,2021-09-24,TV-MA,Mike Flanagan
s7,My Little Pony: A New Generation,Movie,2021-09-24,PG,"Robert Cullen, José Luis Ucha"
s8,Sankofa,Movie,2021-09-24,TV-MA,Haile Gerima
s9,The Great British Baking Show,TV Show,2021-09-24,TV-14,Andy Devonshire
s10,The Starling,Movie,2021-09-24,PG-13,Theodore Melfi
s12,Bangkok Breaking,TV Show,2021-09-23,TV-MA,Kongkiat Komesiri
s13,Je Suis Karl,Movie,2021-09-23,TV-MA,Christian Schwochow
s14,Confessions of an Invisible Girl,Movie,2021-09-22,TV-PG,Bruno Garotti
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2021-09-22,TV-MA,"Pedro de Echave García, Pablo Azorín Williams"
s19,Intrusion,Movie,2021-09-22,TV-14,Adam Salky
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021-09-22,TV-14,Olivier Megaton
s23,Avvai Shanmughi,Movie,2021-09-21,TV-PG,K.S. Ravikumar
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021-09-21,TV-Y,"Alex Woo, Stanley Moore"
s25,Jeans,Movie,2021-09-21,TV-14,S. Shankar
s27,Minsara Kanavu,Movie,2021-09-21,TV-PG,Rajiv Menon
s28,Grown Ups,Movie,2021-09-20,PG-13,Dennis Dugan
s29,Dark Skies,Movie,2021-09-19,PG-13,Scott Stewart
s30,Paranoia,Movie,2021-09-19,PG-13,Robert Luketic
s31,Ankahi Kahaniya,Movie,2021-09-17,TV-14,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"
s36,The Father Who Moves Mountains,Movie,2021-09-17,TV-MA,Daniel Sandu
s37,The Stronghold,Movie,2021-09-17,TV-MA,Cédric Jimenez
s39,Birth of the Dragon,Movie,2021-09-16,PG-13,George Nolfi
s42,Jaws,Movie,2021-09-16,PG,Steven Spielberg
s43,Jaws 2,Movie,2021-09-16,PG,Jeannot Szwarc
s44,Jaws 3,Movie,2021-09-16,PG,Joe Alves
s45,Jaws: The Revenge,Movie,2021-09-16,PG-13,Joseph Sargent
s46,My Heroes Were Cowboys,Movie,2021-09-16,PG,Tyler Greco
s47,Safe House,Movie,2021-09-16,R,Daniel Espinosa
s48,The Smart Money Woman,TV Show,2021-09-16,TV-MA,Bunmi Ajakaiye
s49,Training Day,Movie,2021-09-16,R,Antoine Fuqua
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2021-09-15,TV-14,Toshiya Shinohara
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2021-09-15,TV-14,Toshiya Shinohara
